｜Dislikes｜Likes   ｜Views   ｜Dates   ｜Lengths ｜Links                                       ｜Titles                                                                                  
 ____________________________________________________________________________________________________________________________________________________________________________________________ 
｜       4｜     449｜    3443｜20210822｜03:44:53｜https://www.youtube.com/watch?v=E-rqF4q35zM ｜【朗読】一度聴いたら聞き入っちゃう朗読ききにおいで♪【新人Vtuber/プロプロ２期生】
｜       2｜     536｜    4251｜20210823｜02:33:22｜https://www.youtube.com/watch?v=vNbTzhsMsK8 ｜【歌枠】久しぶりに歌うぞぉぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     463｜    3175｜20210825｜03:08:06｜https://www.youtube.com/watch?v=1Ln7tXfyXW4 ｜【FallGuys】王冠をかぶりたいんじゃぁぁぁ！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     753｜    7228｜20210826｜03:20:59｜https://www.youtube.com/watch?v=H2Vnhn187zw ｜【歌枠】今日もあずの歌で主殿を魅了するぞぉぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     376｜    3486｜20210828｜02:39:55｜https://www.youtube.com/watch?v=74vYtg3DgbA ｜【プロセカ参加型】初心者も大歓迎！みんなでライブしよぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     676｜    6817｜20210830｜02:52:07｜https://www.youtube.com/watch?v=t_AX8oJBzIc ｜【しょぼんのアクション】しょぼんに負けない！！スマートにこなしてやるんだからぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     423｜    3623｜20210901｜03:27:01｜https://www.youtube.com/watch?v=fRN0LaVk_vU ｜【ウマ娘】アオハル杯トウカイテイオー育成するぞぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       0｜     674｜    5314｜20210902｜02:38:01｜https://www.youtube.com/watch?v=KTvbyvmxRIM ｜【歌枠】あずの歌で主殿を魅了するぞぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     444｜    4017｜20210905｜03:02:15｜https://www.youtube.com/watch?v=iIWvQ8PMoZY ｜【プロセカ参加型♪】栗チームの主殿一緒にライブしよぉぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     393｜    2772｜20210906｜03:23:54｜https://www.youtube.com/watch?v=p6eNUuRzuuI ｜【FallGuys】今日もクラウン目指して修行するぞぉぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       5｜     456｜    4092｜20210908｜05:21:21｜https://www.youtube.com/watch?v=56PraGwY6rs ｜【ウマ娘】トウカイテイオー育成２年目から最後までウマぴょい目指すぞぉぉ！！！【新人Vtuber/プロプロ２期生】
｜       4｜     548｜    4025｜20210908｜02:22:57｜https://www.youtube.com/watch?v=7sWs-Ui0leU ｜【歌枠】主殿ちょっと一息あずの歌を聞きにおいで！！！！【新人Vtuber/プロプロ２期生】
｜       0｜     377｜    2331｜20210910｜02:56:39｜https://www.youtube.com/watch?v=vTo0GCOsMyA ｜【Dark Deception】リベンジ！！お猿さんから逃げる！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     555｜    3916｜20210911｜02:58:26｜https://www.youtube.com/watch?v=0SRQzheMizo ｜【歌枠】まったり深夜に歌うよぉぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     653｜    4664｜20210914｜03:03:12｜https://www.youtube.com/watch?v=c4eXECScZ1s ｜【歌枠】デビュー４か月！今日もあずの歌で主殿を魅了するぞぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       8｜     459｜    3458｜20210915｜03:06:31｜https://www.youtube.com/watch?v=fZ-GSb7xtuk ｜【弱すぎるRPG】勇者が弱すぎるんじゃぁぁぁぁ！！！！！【新人Vtuber/プロプロ２期生】
｜       0｜     486｜    3120｜20210916｜04:45:03｜https://www.youtube.com/watch?v=bU8QhYiar8s ｜【Untitled Goose Game】いたずら妖狐がやってきたぁぁぁ！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     451｜    3032｜20210917｜04:23:21｜https://www.youtube.com/watch?v=9sV3x-I3Ezs ｜【Ib】名作ホラーゲーム！クリアまで頑張る！！！【新人Vtuber/プロプロ２期生】
｜       3｜     353｜    2367｜20210920｜01:45:51｜https://www.youtube.com/watch?v=CJN6pyi4Q1I ｜【速すぎるRPG】速すぎぃぃぃぃぃぃｌ！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     267｜    1619｜20210921｜00:42:15｜https://www.youtube.com/watch?v=04G_AtYazMA ｜【無駄をそぎ落としすぎたRPG】無駄をそぎ落とすとは！？！？！？！【新人Vtuber/プロプロ２期生】
｜       2｜     315｜    1878｜20210921｜02:10:35｜https://www.youtube.com/watch?v=1bSkw2fa6s8 ｜【新・無駄をそぎ落としすぎたRPG】無駄をそぎ落とすとは！？！？！？！【新人Vtuber/プロプロ２期生】
｜       5｜     362｜    1931｜20210922｜02:04:27｜https://www.youtube.com/watch?v=6rwircx9LM4 ｜【おすそわけるメイドインワリオ】初見プレイ！何をおすそ分けするんだろ？？？？【新人Vtuber/プロプロ２期生】
｜       2｜     602｜    3740｜20210923｜02:45:38｜https://www.youtube.com/watch?v=Xqj70j0b2Eg ｜【歌枠】お昼のBGMにあずのお歌を聞きにおいで！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     334｜    2292｜20210925｜01:57:06｜https://www.youtube.com/watch?v=yDAln0UYrlg ｜【Among us】kisshコラボ！！騙しあい協力し合う！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     385｜    3132｜20210926｜02:39:01｜https://www.youtube.com/watch?v=2nCYMuurDlo ｜【プロセカ】視聴者参加型♪あずと一緒に楽しくライブしよう！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     488｜    2934｜20210928｜02:30:39｜https://www.youtube.com/watch?v=_hJu5ma4GFE ｜【Fall Guys】４０時間やって一度も獲れたことがないクラウンそろそろ獲りに行きますか！！！！【新人Vtuber/プロプロ２期生】
｜       6｜     631｜    4512｜20210929｜03:19:30｜https://www.youtube.com/watch?v=IakqgOa_o4M ｜【歌枠】帰宅のおともにあずのお歌聞きにおいで～！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     351｜    2219｜20210930｜03:44:43｜https://www.youtube.com/watch?v=a76N-QgETWE ｜【60 Seconds!】家族みんなで生き残るぞぉぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     511｜    2982｜20211001｜02:50:54｜https://www.youtube.com/watch?v=fg9x0UpW02c ｜【Super Bunny Man】ミア先輩とあずの相性はどうなのだろうか！？【新人Vtuber/プロプロ２期生】
｜       4｜     628｜    4604｜20211003｜04:19:20｜https://www.youtube.com/watch?v=T-dN7RCOEPI ｜【歌枠】今日もまったりおしゃべりしながら歌うよぉぉ！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     417｜    2435｜20211004｜02:18:42｜https://www.youtube.com/watch?v=JHXtCG4YUtM ｜【FallGuys】クラウン目指して修行する！！！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     504｜    3297｜20211005｜03:52:47｜https://www.youtube.com/watch?v=KnpBPpuziM8 ｜【FallGuys】今日もクラウン目指して修行する！！！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     583｜    3656｜20211006｜02:40:57｜https://www.youtube.com/watch?v=tCQ-Ku8432U ｜【歌枠】お昼のBGMにあずのお歌聞きにおいで！！！！！！【新人Vtuber/プロプロ２期生】
｜       5｜     734｜    6660｜20211009｜09:20:01｜https://www.youtube.com/watch?v=1obtE6MXGnY ｜【Jump King】鬼畜ゲーどれくらい難しいのか検証します！！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     653｜    5629｜20211011｜06:01:54｜https://www.youtube.com/watch?v=BNMDytHt6D8 ｜【Jump King】鬼畜ゲー何度落ちたってギャルに会いに行くんだからぁぁｌ！！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     498｜    3834｜20211012｜05:05:06｜https://www.youtube.com/watch?v=kzBY-3U7q1o ｜【Jump King】鬼畜ゲーただあの子に会うためだけに今日も跳ぶｌ！！！！！【新人Vtuber/プロプロ２期生】
｜       4｜     625｜    6105｜20211013｜05:08:02｜https://www.youtube.com/watch?v=LTmFAR7_AeE ｜【Jump King】鬼畜ゲー！どんなに落ちてって絶対にクリアして見せるんだからぁぁｌ！！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     464｜    2867｜20211014｜01:53:27｜https://www.youtube.com/watch?v=0M-t5pL-SPM ｜【Jump King】鬼畜ゲー！終盤ついにあの子に会えるいや、会いに行くぞぉぉぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     614｜    3961｜20211014｜03:01:06｜https://www.youtube.com/watch?v=U7g1obs7ig8 ｜【歌枠】デビュー５か月！あずの歌で主殿を魅了するぞぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     604｜    5255｜20211015｜08:27:46｜https://www.youtube.com/watch?v=XxqLSltSHZM ｜【Fall Guys】クラウン獲りに行くぞぉぉぉぉ！！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     530｜    3565｜20211018｜02:11:38｜https://www.youtube.com/watch?v=kLtPkGuyePQ ｜【歌枠】お昼のBGMにあずの歌聞きにおいでぇ！！！！【新人Vtuber/プロプロ２期生】
｜       3｜     476｜    3197｜20211020｜03:20:44｜https://www.youtube.com/watch?v=QT2uqiaKKrk ｜【Fall Guys】クラウン目指して修行する！！！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     521｜    4360｜20211021｜03:31:45｜https://www.youtube.com/watch?v=SWlFXUxRp8A ｜【壺男】初見プレイ！明日のバトルに向けて修行じゃぁぁぁぁ！！！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     497｜    3221｜20211023｜02:18:57｜https://www.youtube.com/watch?v=az55c5Y0UvM ｜【第一回プロプロバトル】壺あず王になったるぞぉぉぉぉお！！！！！【新人Vtuber/プロプロ２期生】
｜       5｜     425｜    3273｜20211027｜02:02:16｜https://www.youtube.com/watch?v=T6o8ZR6hzzE ｜【スーパーマリオパーティ】このメンバーどうなるの！？さて、パーティーの時間だぁぁ！！！！【新人Vtuber/プロプロ２期生】
｜       2｜     556｜    4067｜20211103｜03:11:02｜https://www.youtube.com/watch?v=ALIsOL1kV94 ｜【歌枠】お昼のBGMにあずの歌聴きにおいで！！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     363｜    2418｜20211106｜02:09:57｜https://www.youtube.com/watch?v=wDU4c9FZfB4 ｜【壺おじ】みあずコラボ♪先に宇宙を見せるのはどっちだ！！！！！【新人Vtuber/プロプロ２期生】
｜       1｜     552｜    3460｜20211107｜01:18:44｜https://www.youtube.com/watch?v=j62FyKL_rcA ｜【罰ゲーム】一夜限りのお嬢様配信！！！！！【新人Vtuber/プロプロ２期生】
